GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3005G186800,Carboxypeptidase,2,2,3.372341e-11
SORBI_3008G103800,Uncharacterized protein,2,2,3.412968e-11
SORBI_3003G068950,Uncharacterized protein,2,2,3.624862e-11
SORBI_3003G069950,Protein kinase domain-containing protein,2,2,3.624862e-11
SORBI_3010G139600,Protein kinase domain-containing protein,2,4,3.943959e-11
SORBI_3010G147500,phosphoribosylanthranilate isomerase,2,4,4.397667e-11
SORBI_3010G140500,RING-type E3 ubiquitin transferase,2,4,5.034469e-11
SORBI_3008G019000,NA,2,4,5.260074e-11
SORBI_3006G210600,Protein ENDOSPERM DEFECTIVE 1,2,9,5.298874e-11
SORBI_3006G210700,Potassium transporter,2,9,5.298874e-11
SORBI_3010G150701,Uncharacterized protein,2,3,5.401068e-11
SORBI_3010G151200,GRF-type domain-containing protein,2,3,5.401068e-11
SORBI_3010G141433,Uncharacterized protein,2,2,5.401947e-11
SORBI_3008G004600,E1 ubiquitin-activating enzyme,2,2,5.915794e-11
SORBI_3008G004800,Ferritin,2,2,5.915794e-11
SORBI_3008G004900,Uncharacterized protein,2,2,5.915794e-11
SORBI_3008G005100,Trichome birefringence-like N-terminal domain-containing protein,2,2,5.915794e-11
SORBI_3008G005700,Uncharacterized protein,2,2,5.915794e-11
SORBI_3008G005800,Trichome birefringence-like N-terminal domain-containing protein,2,2,5.915794e-11
SORBI_3010G125500,RING-type domain-containing protein,2,6,5.991652e-11
SORBI_3010G124800,Protein kinase domain-containing protein,2,2,5.991652e-11
SORBI_3010G124900,B-keto acyl reductase,2,2,5.991652e-11
SORBI_3010G125000,Steroid nuclear receptor ligand-binding,2,2,5.991652e-11
SORBI_3010G125100,Ribosomal protein L46 N-terminal domain-containing protein,2,2,5.991652e-11
SORBI_3010G125200,Serine_threonine-protein phosphatase 4 regulatory subunit 2,2,2,5.991652e-11
SORBI_3010G125300,NB-ARC domain-containing protein,2,2,5.991652e-11
